artist,title,album,recordLabel,sequence,programTitle,episodeTitle,episodeTimestamp
Smith & Mighty,B-Line Fi Blow,Life is ...,!K7 Records,6,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
Chaka Khan,Like Sugar,,Diary/Island,7,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
RobynKleerup,With Every Heartbeat,,Universal,8,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
The Human League,The Sound Of The Crowd,,Virgin,9,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
TigaHudson MohawkeJesse Boykins III,Silence of LoveJesse Boykins III,,Love Minus Communications,10,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
The Chemical BrothersBeth Orton,Alive Alone,,Virgin,11,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
Wolf Alice,Just Two Girls,,Columbia,12,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
Curtis Harding,Need Your Love,,ANTI - Records,13,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
Ezra Collective,Ajala,,Partisan,14,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
The KLF,Last Train to Trancentral (Live from the Lost Continent),,EMI,15,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
The Ronettes,Be My Baby,The Best Of The Ronettes,Phil Spector Int,16,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
The Go! Team,Bottle Rocket,CD SINGLE,Memphis Industries,17,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
Deep Blue,The Helicopter Tune,Goldie - Drum & Bass Life,UMOD (Universal Music On Demand),18,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
E-DancerDJ Minx,DetroitDJ Minx,,KMS Records,19,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
Yeah Yeah Yeahs,Gold Lion,,Polydor,20,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
Droogie OtisKiller Mike,The EdgeKiller Mike,,Beat Konducta,21,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
The Kinks,Sunny Afternoon,,Castle,22,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
FKA twigs,ride the dragon,Caprisongs,Young,23,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
Mechatok,Expression On Your Face,,Young,24,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
Fran AresStevens Santana,Summer Dream,,,25,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
Bill Withers,Who Is He (And What Is He To You),,CBS,26,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
Blood OrangeCaroline PolachekMustafaLorde,Mind LoadedCaroline PolachekMustafaLorde,,RCA Records,27,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
Skullcrusher,Dragon,,,28,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
Arctic Monkeys,Old Yellow Bricks,Favourite Worst Nightmare,Domino Recording Co Ltd,29,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
Primal Scream,Rocks,,Virgin,30,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
CMAT,Take A Sexy Picture Of Me,,AWAL,31,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
Mount PalomarMakeshift Art Bar,Pass the ParcelMakeshift Art Bar,,Nice Swan Records,32,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
Prince,If I Was Your Girlfriend,,Paisley Park/Warner Bros,33,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
Dijon,Another Baby!,,R&R,34,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
GorillazSparks,The Happy DictatorSparks,,Kong,35,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
GANS,NIGHTWALKING,,Strap Originals,36,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
I.JORDANASHWARYA,Without YouASHWARYA,Free Falling,Ninja Tune,37,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
Alabama Shakes,Another Life,,Island,38,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
Santigold,L.E.S. Artistes,CD SINGLE,Atlantic,39,Nick Grimshaw,Nemone sits in,2025-09-12T07:01:00+01:00
alt‐J,Tessellate,,Infectious,0,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Sorry,Echoes,,Domino,1,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Frankie KnucklesJamie Principle,Your LoveJamie Principle,,Trax,2,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Weval,MOVEMENT,,,3,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Mary J. Blige,Family Affair,No More Drama,MCA,4,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Baxter Dury,Schadenfreude,,Heavenly,5,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Jacob Alon,Confession,,Island,6,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Boards of Canada,Dayvan Cowboy,Trans Canada Highway,Warp Records Limited,7,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
William Onyeabor,Fantastic Man,World Psychedelic Classics 5: Who Is William Onyeabor?,Luaka Bop,8,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Sly & the Family Stone,Sing A Simple Song,,RCA,9,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Bicep,Apricots,,Ninja Tune,10,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Dutch Uncles,Big Balloon,,Memphis Industries,11,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Wednesday,Bitter Everyday,,Dead Oceans,12,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Fontaines D.C.,Boys In The Better Land,,PARTISAN RECORDS,13,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Foals,My Number,,Transgressive Records,14,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Gabriels,Love And Hate In A Different Time,,GABRIEL,15,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
K‐Klass,Rhythm Is A Mystery,Now 1991 - The Millennium Series,Now,16,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
School of Seven Bells,Open Your Eyes,,Full Time Hobby,17,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Mory Kanté,Yeke Yeke (Hardfloor Edit),Rave Classics,UME - Global Clearing House,18,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
KNEECAPPaul Hartnoll,Sayōnara,,Heavenly,19,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
The Knife,Marble House,,Brille,20,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
David Byrne,The Avant Garde,,Matador,21,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
The Orb,It's Coming Soon,,,22,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Indo,R U Sleeping (Bump 'N' Flex Remix),30 Years: Three Decades of Dance - Ministry of Sound,Ministry of Sound Recordings,23,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Ghostface Killah,Metaphysics,,Mass Appeal,24,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Parquet Courts,Wide Awake,,Rough Trade,25,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
TATYANA,Amour Armour,,,26,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Cocteau Twins,Pearly-Dewdrops' Drops,,4 A.D,27,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Mac DeMarco,Holy,,Mac’s Record Label,28,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Mura Masa,I'm Really Hot (For Myself),Single,Pond Recordings,29,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Galaxy II Galaxy,Jupiter Jazz,World 2 World,Underground Resistance,30,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Honeyglaze,Pretty Girls,,Fat Possum,31,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
White Denim,Let's Talk About It,CD SINGLE,Full Time Hobby,32,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Water From Your Eyes,Playing Classics,,Matador,33,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
WookieLain,BattleLain,Battle,S2S,34,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Kae Tempest,I Stand On The Line,,Island Records,35,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
HAAi,Stitches,,Mute,36,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
TTSSFU,Forever,,Partisan,37,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Cate Le Bon,About Time,,Mexican Summer,38,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Big Special,YESBOSS.,,SO RECORDINGS,39,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Mitski,Washing Machine Heart,Be the Cowboy,Dead Oceans,40,Nick Grimshaw,Nemone sits in,2025-09-11T07:00:00+01:00
Lykke Li,Get Some,CD SINGLE,LL RECORDINGS / Atlantic,0,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Deftones,Infinite Source,,Reprise Records,1,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Luther Ingram,If It's All The Same To You Babe,Turn On The Heat,Northern Soul,2,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Skullcrusher,Dragon,,,3,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Death Cab for Cutie,Soul Meets Body,CD SINGLE,Atlantic,4,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
RaekwonNas,The OmertàNas,,Mass Appeal Records,5,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Tina Moore,Never Gonna Let You Go,Tina Moore,RCA/Legacy,6,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
JAY-Z,Izzo (H.O.V.A.),Izzo (H.O.V.A),Roc-A-Fella,7,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Little Dragon,Ritual Union,,Peacefrog,8,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Björk,Big Time Sensuality,,One Little Indian Record,9,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Jackie Wilson,(Your Love Keeps Lifting Me) Higher and Higher,,Brunswick Records,10,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Belle and Sebastian,Another Sunny Day,,Rough Trade Records,11,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Veruca Salt,Seether,,Scared Hitless,12,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Dijon,Another Baby!,,R&R,13,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
The Wannadies,Hit,,Indolent,14,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
MGMT,It's Working,,COLUMBIA,15,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
St Germain,Rose Rouge,,Blue Note,16,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
The Doobie Brothers,Long Train Runnin',,Warner Bros,17,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Black Rebel Motorcycle Club,Whatever Happened to My Rock 'n' Roll (Punk Song),,Virgin,18,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Double 99,Rip Groove,,Satellite,19,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Mount PalomarMakeshift Art Bar,Pass the ParcelMakeshift Art Bar,,Nice Swan Records,20,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Moonchild Sanelly,Scrambled Eggs,,Transgressive,21,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Steve Lacy,Nice Shoes,,RCA Records,22,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Mark RonsonAlex Greenwald,JustAlex Greenwald,CD SINGLE,Columbia,23,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Alabama Shakes,Another Life,,Island,24,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
The Jam,Start!,,POLYGRAM TV,25,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Max CooperRob Clouth,Candeleda,,,26,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Beastie Boys,Sabotage,,Grand Royal,27,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Florence + The Machine,Everybody Scream,,Polydor,28,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
The Orb,It's Coming Soon,,,29,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Sampha,Blood On Me,,Young Turks,30,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Étienne de Crécy,Am I Wrong,,XL Recordings,31,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Suede,Dancing With The Europeans,,BMG,32,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Nightmares on WaxYasiin Bey,Bang BienYasiin Bey,Echo45 Soundsystem,Warp,33,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Joy Lovejoy,In Orbit,,Checker,34,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Droogie OtisKiller Mike,The EdgeKiller Mike,,Beat Konducta,35,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Saint Etienne,"Glad (6 Music Session, 9th Sept 2025)",,,36,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Snooper,Worldwide,,Third Man,37,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Max Pope,Home,,,38,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
E-DancerDJ Minx,DetroitDJ Minx,,KMS Records,39,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Kelly Lee Owens,On,,Smalltown Supersound,40,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
CHVRCHES,The Mother We Share,The Bones of What You Believe,Glassnote Entertainment Group LLC,27,Nick Grimshaw,T-Shirt Day 2025 with Mawaan Rizwan,2025-09-18T07:00:00+01:00
Grace Jones,Williams' Blood,CD SINGLE,WALL OF SOUND RECORDINGS,0,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Kae Tempest,I Stand On The Line,,Island Records,1,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Turnstile,UNDERWATER BOI,GLOW ON,Roadrunner Records,2,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Cate Le Bon,About Time,,Mexican Summer,3,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Maceo & the Macks,Cross The Tracks (We Better Go Back),,Universal,4,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Ghostface Killah,Metaphysics,,Mass Appeal,5,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Tori Amos,Cornflake Girl,,Columbia,6,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
RitonKah‐Lo,Rinse & RepeatKah‐Lo,,Ministry Of Sound,7,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
LCD Soundsystem,All My Friends,CD SINGLE,DFA,8,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
DEVO,Whip It,,Virgin,9,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Bran Van 3000,Drinking In L.A.,,Virgin,10,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
SL2,On A Ragga Tip,On A Ragga Tip,XL,11,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
RedmanAdam F,Smash Sumthin'Adam F,Smash Sumthin',Def Jam Recordings,12,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Wolf Alice,Just Two Girls,,Columbia,13,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Gnarls Barkley,Run (I'm A Natural Disaster),CD Single,Warner Brothers,14,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Little Simz,Offence,,Age 101,15,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
The Cure,Boys Don't Cry,,Fiction,16,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
The Mars Volta,Inertiatic ESP,Inertiatic ESP,Motown,17,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Future Islands,Ran,,4AD,18,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
The Strokes,Machu Picchu,,Rough Trade,19,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Beats International,Dub Be Good To Me,,Go Beat,20,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Lava La Rue,"easy come, easy go",,BMG,21,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
ThundercatMichael McDonaldKenny Loggins,Show You The WayMichael McDonaldKenny Loggins,Drunk,Brainfeeder,22,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Mac DeMarco,Holy,,Mac’s Record Label,23,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Elbow,Grounds For Divorce,CD SINGLE,Fiction,24,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
David Bowie,Changes,,Mercury Records Limited,25,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Saint Etienne,Take Me To The Pilot,,Heavenly,26,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
AlunaGeorge,"Your Drums, Your Love",,Island Records,27,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
WerkhaDaudi Matsiko,Narrow InDaudi Matsiko,,,28,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
PJ Harvey,This Is Love,,Universal Music,29,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Wednesday,Bitter Everyday,,Dead Oceans,30,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Father John Misty,Mr. Tillman,,Bella Union Records,31,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Coi Leray,Players,,Republic Records,32,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Yello,Bostich,Essential Yello,Polydor,33,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Wet Leg,CPR,,Domino,34,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
bar italia,Fundraiser,,Matador,35,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Fatoumata Diawara,Nterini,,Shanachie Records,36,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Dijon,Another Baby!,,R&R,37,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
jasmine.4.t,I Can't Believe I Did This Without You,,,38,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Radio Free Alice,Toyota Camry,,Double Drummer Music,39,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Fran AresStevens Santana,Summer Dream,,,40,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Princess Nokia,Blue Velvet,,Artist House,41,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
LeilaLuca Santucci,"Won't You Be My Baby, BabyLuca Santucci",Like Weather (Remastered Edition),Modern Love,42,Nick Grimshaw,Nemone sits in,2025-09-09T07:00:00+01:00
Nightmares on WaxYasiin Bey,Bang BienYasiin Bey,,,33,Nick Grimshaw,Nemone sits in,2025-09-10T07:00:00+01:00
Massive Attack,Unfinished Sympathy,,Virgin,0,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Steve Lacy,Nice Shoes,,RCA Records,1,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Charles B.,Lack Of Love,,Desire Records,2,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Max Pope,Home,,,3,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Bloc Party,Helicopter,,WICHITA,4,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Suede,Dancing With The Europeans,,BMG,5,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Amyl and the Sniffers,Hertz,,Rough Trade Records,6,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Public Service Broadcasting,Go!,,Test Card Recordings,7,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Daft Punk,Around The World,(CD Single),VIRGIN,8,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Nick Drake,Northern Sky,,Island,9,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
O.D.B.,Shimmy Shimmy Ya,The Dirty Story: The Best Of ODB,Elektra,10,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Utah Saints,Something Good,,London Records,11,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Florence + The Machine,Everybody Scream,,Polydor,12,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Funkadelic,One Nation Under A Groove,,Virgin,13,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Gorillaz,Dare,,Parlophone,14,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
SBTRKTRoses Gabor,PharaohsRoses Gabor,,Young Turks,15,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
One Dove,White Love,(CD Single),BOYS OWN,16,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Bassomatic,Fascinating Rhythm,NOW 18,Virgin EMI,17,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Underworld,Born Slippy,,Junior Boys Own,18,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
E-DancerDJ Minx,DetroitDJ Minx,,KMS Records,19,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
The Mysterines,Love's Not Enough,,Pretty Face Recordings,20,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Deftones,Infinite Source,,Reprise Records,21,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Anna Meredith,Nautilus,Varmints,Moshi Moshi Records,22,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
RaekwonNas,The OmertàNas,,Mass Appeal Records,23,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Bobby WomackLana Del Rey,Dayglo ReflectionLana Del Rey,,XL Recordings,24,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Natalie Bergman,My Home Is Not In This World,,,25,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Amy Winehouse,Love Is A Losing Game,CD SINGLE,Island,26,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
David Byrne,The Avant Garde,,Matador,27,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
The Jon Spencer Blues Explosion,Bellbottoms,Orange,Shout!,28,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Mount PalomarMakeshift Art Bar,Pass the ParcelMakeshift Art Bar,,Nice Swan Records,29,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Sébastien Tellier,La Ritournelle,CD SINGLE,Lucky Numbers,30,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Blood OrangeCaroline PolachekMustafaLorde,Mind LoadedCaroline PolachekMustafaLorde,,RCA Records,31,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Weval,MOVEMENT,,,32,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
The Dare,Tambourine,,Polydor,33,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
KNEECAPPaul Hartnoll,Sayōnara,,Heavenly,34,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Kleenex,Hedi's Head,,Rough TRade,35,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Young Fathers,Geronimo,,Ninja Tune,36,Nick Grimshaw,Nemone sits in with Mark Kermode,2025-09-08T07:00:00+01:00
Joy Division,Love Will Tear Us Apart,,Virgin,0,Nick Grimshaw,Nemone sits in,2025-09-12T07:00:00+01:00
Deftones,Infinite Source,,Reprise Records,1,Nick Grimshaw,Nemone sits in,2025-09-12T07:00:00+01:00
Peggy Gou,Starry Night,,Gudu Records,2,Nick Grimshaw,Nemone sits in,2025-09-12T07:00:00+01:00
Sophia Kennedy,Very Far Away,,,3,Nick Grimshaw,Nemone sits in,2025-09-12T07:00:00+01:00
Raphael SaadiqQ‐Tip,Get Involved,,Hollywood Records,4,Nick Grimshaw,Nemone sits in,2025-09-12T07:00:00+01:00
RaekwonNas,The OmertàNas,,Mass Appeal Records,5,Nick Grimshaw,Nemone sits in,2025-09-12T07:00:00+01:00
Smith & Mighty,B-Line Fi Blow,Life is ...,!K7 Records,6,Nick Grimshaw,Nemone sits in,2025-09-12T07:00:00+01:00
Chaka Khan,Like Sugar,,Diary/Island,7,Nick Grimshaw,Nemone sits in,2025-09-12T07:00:00+01:00
RobynKleerup,With Every Heartbeat,,Universal,8,Nick Grimshaw,Nemone sits in,2025-09-12T07:00:00+01:00
The Human League,The Sound Of The Crowd,,Virgin,9,Nick Grimshaw,Nemone sits in,2025-09-12T07:00:00+01:00
TigaHudson MohawkeJesse Boykins III,Silence of LoveJesse Boykins III,,Love Minus Communications,10,Nick Grimshaw,Nemone sits in,2025-09-12T07:00:00+01:00
The Chemical BrothersBeth Orton,Alive Alone,,Virgin,11,Nick Grimshaw,Nemone sits in,2025-09-12T07:00:00+01:00
Wolf Alice,Just Two Girls,,Columbia,12,Nick Grimshaw,Nemone sits in,2025-09-12T07:00:00+01:00
Curtis Harding,Need Your Love,,ANTI - Records,13,Nick Grimshaw,Nemone sits in,2025-09-12T07:00:00+01:00
Ezra Collective,Ajala,,Partisan,14,Nick Grimshaw,Nemone sits in,2025-09-12T07:00:00+01:00
