artist,title,album,recordLabel,sequence,programTitle,episodeTitle,episodeTimestamp
Dry Cleaning,Joy,,4AD,26,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Wesley JosephDanny Brown,Peace Of MindDanny Brown,,Secretly Canadian,27,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Gloria Jones,Tainted Love,Rude Boy Arrival,TELSTAR,28,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Lykke Li,I Follow Rivers,,LL Recordings,29,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Mitski,Where's My Phone,,Dead Oceans,30,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Madra Salach,Blue & Gold,,Madra Salach,31,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Lava La RueFoster the People,JET LAGGED,,BMG,32,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Jack Peñate,Tonight's Today,CD SINGLE,XL RECORDS,33,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Talking Heads,Born Under Punches (The Heat Goes On),Remain In Light,Sire,34,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
The Jesus and Mary ChainHope Sandoval,Sometimes AlwaysHope Sandoval,,Blanco Y Negro,35,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
PJ Harvey,A Place Called Home,,Island,0,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Mitski,Where's My Phone,,Dead Oceans,1,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Blood Sisters,Ring My Bell,Hustle!,Soul Jazz Records,2,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Charlotte Day WilsonSaya Gray,LeanSaya Gray,Single,Stone Woman Music / XL Recordings,3,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
Bright Eyes,Shell Games,Download,Polydor,4,Nick Grimshaw,"Birdsong, Cloudbusting, and Beth Ditto reminiscing on the 00s!",2026-01-20T07:00:00+00:00
